Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
BOOM Esports,Neon Esports,BOOM Esports,timbersaw,treant-protector,batrider,dragon-knight,lone-druid,death-prophet,alchemist,queen-of-pain,beastmaster,witch-doctor,ursa,venomancer,storm-spirit,templar-assassin,tusk,pangolier,natures-prophet,spectre,phoenix,kunkka,grimstroke,tidehunter
BOOM Esports,BOOM Esports,Neon Esports,queen-of-pain,beastmaster,treant-protector,batrider,venomancer,alchemist,rubick,lone-druid,witch-doctor,tusk,phoenix,ursa,spectre,timbersaw,pugna,mirana,faceless-void,centaur-warrunner,ember-spirit,templar-assassin,invoker,void-spirit
business associates,Midas Club,business associates,witch-doctor,kunkka,clinkz,winter-wyvern,beastmaster,tusk,bristleback,queen-of-pain,chen,mirana,sand-king,necrophos,ancient-apparition,earthshaker,shadow-demon,rubick,viper,anti-mage,batrider,ursa,natures-prophet,broodmother
business associates,Midas Club,business associates,clinkz,queen-of-pain,witch-doctor,winter-wyvern,beastmaster,chen,bristleback,kunkka,ember-spirit,viper,earthshaker,enigma,broodmother,lycan,vengeful-spirit,batrider,abaddon,terrorblade,shadow-demon,necrophos,invoker,gyrocopter
business associates,Thunder Predator,business associates,clinkz,queen-of-pain,lone-druid,beastmaster,timbersaw,earthshaker,dragon-knight,kunkka,natures-prophet,sand-king,jakiro,earth-spirit,lycan,viper,keeper-of-the-light,bristleback,ember-spirit,death-prophet,weaver,broodmother,oracle,naga-siren
business associates,business associates,Thunder Predator,kunkka,lone-druid,earthshaker,natures-prophet,broodmother,chen,queen-of-pain,beastmaster,clinkz,bane,void-spirit,shadow-shaman,enigma,lycan,legion-commander,luna,slark,viper,ember-spirit,lina,sand-king,batrider
Quincy Crew,Quincy Crew,PlusOne,beastmaster,lycan,dragon-knight,enchantress,batrider,death-prophet,earthshaker,queen-of-pain,natures-prophet,void-spirit,jakiro,rubick,troll-warlord,timbersaw,pangolier,bane,phoenix,ember-spirit,luna,naga-siren,ursa,necrophos
Quincy Crew,PlusOne,Quincy Crew,timbersaw,enchantress,lycan,natures-prophet,beastmaster,queen-of-pain,dragon-knight,batrider,witch-doctor,death-prophet,earthshaker,centaur-warrunner,riki,shadow-demon,io,ancient-apparition,monkey-king,invoker,naga-siren,kunkka,morphling,void-spirit
4 Zoomers,4 Zoomers,CR4ZY,luna,queen-of-pain,beastmaster,enchantress,earthshaker,death-prophet,phoenix,batrider,witch-doctor,necrophos,bane,shadow-demon,lycan,puck,clinkz,void-spirit,storm-spirit,anti-mage,invoker,troll-warlord,sand-king,ursa
4 Zoomers,4 Zoomers,CR4ZY,luna,queen-of-pain,beastmaster,enchantress,earthshaker,death-prophet,necrophos,phoenix,witch-doctor,legion-commander,sniper,ursa,viper,pugna,troll-warlord,shadow-demon,enigma,batrider,kunkka,storm-spirit,pangolier,ember-spirit
Reality Rift,Reality Rift,Adroit,lone-druid,queen-of-pain,chen,dragon-knight,dazzle,ember-spirit,natures-prophet,clockwerk,beastmaster,witch-doctor,luna,skywrath-mage,pugna,troll-warlord,shadow-demon,jakiro,centaur-warrunner,void-spirit,monkey-king,kunkka,faceless-void,death-prophet
Reality Rift,Adroit,Reality Rift,timbersaw,lone-druid,dragon-knight,natures-prophet,batrider,beastmaster,lycan,chen,clockwerk,queen-of-pain,witch-doctor,ember-spirit,faceless-void,dazzle,earth-spirit,enchantress,spectre,necrophos,medusa,invoker,troll-warlord,razor
Adroit,Reality Rift,Adroit,lone-druid,beastmaster,chen,timbersaw,dazzle,dragon-knight,natures-prophet,batrider,clockwerk,phoenix,ember-spirit,snapfire,lycan,faceless-void,queen-of-pain,troll-warlord,axe,legion-commander,invoker,ursa,void-spirit,morphling
TNC Predator,TNC Predator,T1,lone-druid,queen-of-pain,timbersaw,brewmaster,mirana,beastmaster,clockwerk,natures-prophet,grimstroke,ember-spirit,ancient-apparition,pangolier,earthshaker,lycan,batrider,oracle,tiny,death-prophet,ursa,lina,spectre,morphling
TNC Predator,T1,TNC Predator,queen-of-pain,lone-druid,lycan,timbersaw,death-prophet,grimstroke,beastmaster,mirana,natures-prophet,pangolier,phoenix,clockwerk,spectre,oracle,batrider,keeper-of-the-light,phantom-assassin,ursa,ember-spirit,venomancer,storm-spirit,puck
Fnatic,Fnatic,Geek Fam,queen-of-pain,morphling,lycan,death-prophet,batrider,ember-spirit,natures-prophet,ancient-apparition,luna,shadow-demon,dragon-knight,timbersaw,ursa,ogre-magi,bane,tiny,gyrocopter,storm-spirit,oracle,viper,witch-doctor,void-spirit
Geek Fam,Geek Fam,Fnatic,timbersaw,batrider,nyx-assassin,ursa,chen,queen-of-pain,natures-prophet,ancient-apparition,ember-spirit,earthshaker,necrophos,tusk,morphling,shadow-demon,bane,lich,monkey-king,troll-warlord,mars,luna,venomancer,weaver
Geek Fam,Fnatic,Geek Fam,lycan,timbersaw,batrider,morphling,venomancer,natures-prophet,beastmaster,riki,ember-spirit,dragon-knight,queen-of-pain,treant-protector,nyx-assassin,spectre,luna,witch-doctor,ogre-magi,phoenix,terrorblade,void-spirit,faceless-void,earthshaker
Thunder Predator,Plasma1337x VitaPLUR gum,Thunder Predator,beastmaster,keeper-of-the-light,enchantress,winter-wyvern,batrider,techies,void-spirit,natures-prophet,ember-spirit,puck,earthshaker,clockwerk,lone-druid,rubick,chen,skywrath-mage,lycan,tidehunter,bloodseeker,pugna,kunkka,viper
Thunder Predator,Plasma1337x VitaPLUR gum,Thunder Predator,beastmaster,winter-wyvern,lycan,techies,void-spirit,keeper-of-the-light,ember-spirit,natures-prophet,queen-of-pain,earthshaker,puck,clockwerk,lone-druid,rubick,enchantress,skywrath-mage,dragon-knight,batrider,ursa,morphling,luna,lifestealer
Quincy Crew,Thunder Predator,Quincy Crew,winter-wyvern,queen-of-pain,kunkka,enchantress,earthshaker,beastmaster,death-prophet,batrider,ember-spirit,natures-prophet,rubick,jakiro,necrophos,dragon-knight,clockwerk,pangolier,void-spirit,riki,puck,underlord,legion-commander,ursa
Quincy Crew,Thunder Predator,Quincy Crew,winter-wyvern,queen-of-pain,kunkka,enchantress,rubick,beastmaster,death-prophet,natures-prophet,ember-spirit,earthshaker,luna,clockwerk,necrophos,batrider,chen,grimstroke,dragon-knight,venomancer,bristleback,invoker,windranger,lycan
Evil Geniuses,Midas Club,Evil Geniuses,earthshaker,death-prophet,viper,enchantress,clinkz,natures-prophet,chen,necrophos,queen-of-pain,kunkka,rubick,winter-wyvern,ember-spirit,beastmaster,bane,centaur-warrunner,puck,ursa,dragon-knight,phantom-lancer,razor,naga-siren
Evil Geniuses,Evil Geniuses,Midas Club,jakiro,earthshaker,mirana,lycan,death-prophet,enchantress,necrophos,beastmaster,chen,timbersaw,tusk,batrider,oracle,ember-spirit,winter-wyvern,rubick,void-spirit,ursa,puck,naga-siren,queen-of-pain,phantom-lancer
CR4ZY,CR4ZY,beastcoast,bane,lycan,ember-spirit,beastmaster,natures-prophet,dragon-knight,enchantress,chen,queen-of-pain,batrider,earthshaker,oracle,riki,necrophos,void-spirit,rubick,legion-commander,luna,enigma,slark,abaddon,bloodseeker
CR4ZY,beastcoast,CR4ZY,necrophos,enchantress,beastmaster,queen-of-pain,luna,phoenix,dragon-knight,death-prophet,ember-spirit,viper,earthshaker,rubick,lycan,batrider,puck,sand-king,troll-warlord,omniknight,razor,enigma,phantom-assassin,treant-protector
BOOM Esports,Reality Rift,BOOM Esports,lone-druid,death-prophet,batrider,timbersaw,lycan,troll-warlord,kunkka,mirana,beastmaster,witch-doctor,ursa,queen-of-pain,earthshaker,riki,natures-prophet,grimstroke,phoenix,juggernaut,storm-spirit,void-spirit,tusk,doom
BOOM Esports,BOOM Esports,Reality Rift,timbersaw,beastmaster,venomancer,natures-prophet,phantom-lancer,lone-druid,phoenix,batrider,witch-doctor,troll-warlord,earthshaker,brewmaster,chen,razor,queen-of-pain,bounty-hunter,bane,visage,shadow-fiend,lycan,bloodseeker,ember-spirit
Neon Esports,Fnatic,Neon Esports,grimstroke,morphling,venomancer,alchemist,batrider,chen,lycan,timbersaw,natures-prophet,queen-of-pain,beastmaster,ember-spirit,necrophos,phantom-lancer,treant-protector,io,ursa,luna,invoker,enchantress,shadow-demon,storm-spirit
Fnatic,Neon Esports,Fnatic,morphling,venomancer,alchemist,phoenix,batrider,lycan,chen,natures-prophet,queen-of-pain,earthshaker,ember-spirit,treant-protector,timbersaw,necrophos,ursa,tusk,dazzle,weaver,monkey-king,puck,tiny,disruptor
T1,TNC Predator,T1,natures-prophet,brewmaster,timbersaw,queen-of-pain,grimstroke,batrider,lone-druid,beastmaster,enchantress,mirana,ogre-magi,legion-commander,luna,riki,pangolier,enigma,ursa,void-spirit,spectre,dragon-knight,morphling,monkey-king
TNC Predator,T1,TNC Predator,brewmaster,grimstroke,queen-of-pain,natures-prophet,batrider,timbersaw,beastmaster,lone-druid,mirana,bounty-hunter,pangolier,luna,spectre,ogre-magi,ember-spirit,bane,dark-seer,invoker,doom,ursa,bloodseeker,terrorblade
4 Zoomers,Plasma1337x VitaPLUR gum,4 Zoomers,batrider,techies,chen,skywrath-mage,death-prophet,keeper-of-the-light,beastmaster,enigma,ember-spirit,enchantress,queen-of-pain,witch-doctor,ursa,dragon-knight,puck,ogre-magi,necrophos,luna,pugna,broodmother,nyx-assassin,lone-druid
4 Zoomers,4 Zoomers,Plasma1337x VitaPLUR gum,techies,batrider,skywrath-mage,chen,kunkka,beastmaster,spectre,enchantress,queen-of-pain,ember-spirit,keeper-of-the-light,tinker,nyx-assassin,legion-commander,natures-prophet,io,luna,clinkz,broodmother,earthshaker,sand-king,axe
4 Zoomers,Midas Club,4 Zoomers,queen-of-pain,luna,batrider,winter-wyvern,lycan,necrophos,lone-druid,death-prophet,ember-spirit,keeper-of-the-light,ursa,natures-prophet,bristleback,rubick,earthshaker,witch-doctor,void-spirit,spectre,beastmaster,broodmother,pangolier,viper
4 Zoomers,Midas Club,4 Zoomers,queen-of-pain,luna,ursa,winter-wyvern,batrider,necrophos,lone-druid,spectre,rubick,witch-doctor,lycan,ember-spirit,beastmaster,brewmaster,earth-spirit,jakiro,viper,centaur-warrunner,troll-warlord,death-prophet,gyrocopter,legion-commander
business associates,Quincy Crew,business associates,clinkz,queen-of-pain,luna,kunkka,batrider,phoenix,lone-druid,death-prophet,enchantress,beastmaster,witch-doctor,ember-spirit,necrophos,morphling,mirana,winter-wyvern,sand-king,spectre,bristleback,ursa,legion-commander,slardar
Quincy Crew,Quincy Crew,business associates,clinkz,queen-of-pain,beastmaster,phoenix,lone-druid,batrider,slardar,kunkka,enchantress,luna,witch-doctor,earthshaker,clockwerk,lycan,natures-prophet,void-spirit,earth-spirit,enigma,weaver,viper,troll-warlord,razor
Evil Geniuses,Evil Geniuses,PlusOne,death-prophet,beastmaster,luna,natures-prophet,mirana,enchantress,bristleback,chen,queen-of-pain,dragon-knight,oracle,clockwerk,lone-druid,snapfire,nyx-assassin,witch-doctor,puck,lycan,timbersaw,naga-siren,earthshaker,troll-warlord
Evil Geniuses,PlusOne,Evil Geniuses,batrider,death-prophet,timbersaw,enchantress,lycan,beastmaster,natures-prophet,clockwerk,earthshaker,queen-of-pain,chen,witch-doctor,pangolier,lone-druid,tusk,void-spirit,puck,kunkka,riki,spectre,troll-warlord,necrophos
TNC Predator,Reality Rift,TNC Predator,grimstroke,timbersaw,brewmaster,death-prophet,dragon-knight,troll-warlord,natures-prophet,batrider,beastmaster,chen,kunkka,earthshaker,phantom-assassin,phoenix,mirana,jakiro,legion-commander,morphling,monkey-king,alchemist,ursa,spectre
TNC Predator,TNC Predator,Reality Rift,troll-warlord,beastmaster,timbersaw,queen-of-pain,death-prophet,brewmaster,batrider,grimstroke,enchantress,treant-protector,mirana,legion-commander,kunkka,earthshaker,pugna,pangolier,luna,void-spirit,spectre,dragon-knight,morphling,ember-spirit
BOOM Esports,BOOM Esports,Cignal Ultra,enchantress,batrider,puck,dragon-knight,dazzle,ember-spirit,beastmaster,timbersaw,earthshaker,queen-of-pain,bane,natures-prophet,spectre,phantom-lancer,earth-spirit,vengeful-spirit,kunkka,lone-druid,templar-assassin,riki,legion-commander,troll-warlord
BOOM Esports,BOOM Esports,Cignal Ultra,death-prophet,batrider,dazzle,ember-spirit,timbersaw,dragon-knight,phantom-lancer,queen-of-pain,natures-prophet,earthshaker,mars,clockwerk,spectre,lycan,disruptor,riki,beastmaster,kunkka,legion-commander,storm-spirit,witch-doctor,faceless-void
Fnatic,Fnatic,Geek Fam,lycan,death-prophet,enchantress,natures-prophet,batrider,morphling,ancient-apparition,earthshaker,ember-spirit,dragon-knight,queen-of-pain,timbersaw,ursa,phoenix,monkey-king,mirana,grimstroke,luna,bane,venomancer,ogre-magi,necrophos
Fnatic,Geek Fam,Fnatic,clockwerk,earthshaker,natures-prophet,lycan,ancient-apparition,riki,timbersaw,morphling,ember-spirit,witch-doctor,juggernaut,grimstroke,death-prophet,phantom-assassin,nyx-assassin,queen-of-pain,dragon-knight,luna,vengeful-spirit,beastmaster,ogre-magi,shadow-demon
4 Zoomers,PlusOne,4 Zoomers,beastmaster,dragon-knight,queen-of-pain,timbersaw,batrider,luna,lycan,clockwerk,void-spirit,chen,death-prophet,ancient-apparition,tusk,kunkka,rubick,shadow-demon,storm-spirit,anti-mage,viper,ursa,centaur-warrunner,phantom-assassin
4 Zoomers,4 Zoomers,PlusOne,beastmaster,lycan,void-spirit,batrider,luna,death-prophet,naga-siren,queen-of-pain,witch-doctor,keeper-of-the-light,ember-spirit,morphling,ancient-apparition,nyx-assassin,mirana,ogre-magi,sven,legion-commander,necrophos,puck,viper,lone-druid
Midas Club,Midas Club,beastcoast,clockwerk,ember-spirit,queen-of-pain,winter-wyvern,timbersaw,necrophos,dragon-knight,centaur-warrunner,natures-prophet,pangolier,enchantress,void-spirit,lycan,bloodseeker,grimstroke,jakiro,shadow-fiend,sand-king,death-prophet,troll-warlord,anti-mage,alchemist
beastcoast,beastcoast,Midas Club,winter-wyvern,clockwerk,necrophos,tusk,natures-prophet,queen-of-pain,sand-king,beastmaster,ember-spirit,rubick,centaur-warrunner,witch-doctor,enchantress,bristleback,jakiro,timbersaw,luna,juggernaut,death-prophet,viper,earthshaker,invoker
business associates,CR4ZY,business associates,bane,queen-of-pain,phoenix,kunkka,lone-druid,beastmaster,batrider,lycan,enchantress,luna,clinkz,natures-prophet,vengeful-spirit,necrophos,ogre-magi,clockwerk,sand-king,ursa,ember-spirit,viper,storm-spirit,death-prophet
business associates,business associates,CR4ZY,kunkka,luna,necrophos,phoenix,clockwerk,queen-of-pain,beastmaster,oracle,clinkz,batrider,tiny,abaddon,death-prophet,weaver,jakiro,bane,natures-prophet,ember-spirit,lone-druid,ursa,legion-commander,lycan
Evil Geniuses,Quincy Crew,Evil Geniuses,chen,death-prophet,clinkz,enchantress,dragon-knight,ember-spirit,kunkka,clockwerk,queen-of-pain,natures-prophet,earthshaker,beastmaster,viper,spectre,winter-wyvern,jakiro,puck,riki,phoenix,naga-siren,void-spirit,bristleback
Evil Geniuses,Evil Geniuses,Quincy Crew,death-prophet,enchantress,winter-wyvern,queen-of-pain,ember-spirit,natures-prophet,clinkz,chen,phoenix,earthshaker,weaver,beastmaster,kunkka,ursa,luna,clockwerk,bristleback,viper,troll-warlord,invoker,faceless-void,lina
TNC Predator,Execration,TNC Predator,timbersaw,batrider,riki,alchemist,earthshaker,morphling,beastmaster,lycan,ember-spirit,grimstroke,doom,oracle,ursa,troll-warlord,void-spirit,queen-of-pain,pangolier,dragon-knight,monkey-king,faceless-void,slark,spectre
TNC Predator,TNC Predator,Execration,batrider,morphling,lycan,timbersaw,alchemist,clockwerk,kunkka,beastmaster,queen-of-pain,natures-prophet,tiny,phoenix,lina,faceless-void,snapfire,earthshaker,lifestealer,phantom-assassin,mars,necrophos,slardar,pugna
BOOM Esports,Fnatic,BOOM Esports,lycan,death-prophet,batrider,morphling,phoenix,monkey-king,ember-spirit,timbersaw,natures-prophet,witch-doctor,beastmaster,winter-wyvern,spectre,troll-warlord,mirana,earth-spirit,ursa,vengeful-spirit,storm-spirit,queen-of-pain,kunkka,necrophos
Fnatic,Fnatic,BOOM Esports,lycan,death-prophet,batrider,morphling,mirana,earthshaker,beastmaster,ancient-apparition,natures-prophet,witch-doctor,pangolier,ember-spirit,necrophos,troll-warlord,enigma,bane,lone-druid,spectre,timbersaw,monkey-king,phoenix,shadow-fiend
TNC Predator,TNC Predator,Cignal Ultra,timbersaw,chen,lycan,dragon-knight,riki,batrider,kunkka,beastmaster,queen-of-pain,earthshaker,oracle,enchantress,lina,clockwerk,natures-prophet,pangolier,morphling,spectre,necrophos,puck,night-stalker,slardar
business associates,business associates,beastcoast,clockwerk,beastmaster,kunkka,natures-prophet,legion-commander,timbersaw,enchantress,lone-druid,queen-of-pain,winter-wyvern,dragon-knight,viper,lycan,batrider,rubick,earthshaker,pangolier,luna,abaddon,phantom-lancer,bane,broodmother
business associates,beastcoast,business associates,clinkz,enchantress,beastmaster,phoenix,dragon-knight,queen-of-pain,ursa,pangolier,natures-prophet,lone-druid,witch-doctor,clockwerk,lycan,weaver,earth-spirit,winter-wyvern,batrider,phantom-lancer,kunkka,timbersaw,legion-commander,ember-spirit
Thunder Predator,Thunder Predator,Midas Club,timbersaw,dragon-knight,winter-wyvern,lycan,kunkka,queen-of-pain,rubick,ember-spirit,beastmaster,void-spirit,enchantress,bane,necrophos,riki,bristleback,tusk,pangolier,ursa,death-prophet,naga-siren,puck,luna
Midas Club,Midas Club,Thunder Predator,dragon-knight,winter-wyvern,queen-of-pain,timbersaw,tusk,rubick,beastmaster,enchantress,ember-spirit,chen,lone-druid,jakiro,luna,kunkka,clockwerk,centaur-warrunner,ursa,necrophos,troll-warlord,leshrac,phantom-lancer,phoenix
Evil Geniuses,Evil Geniuses,Plasma1337x VitaPLUR gum,lycan,chen,natures-prophet,beastmaster,death-prophet,ember-spirit,pangolier,queen-of-pain,enchantress,keeper-of-the-light,bristleback,earthshaker,clockwerk,morphling,ursa,viper,techies,troll-warlord,enigma,broodmother,batrider,pugna
Evil Geniuses,Evil Geniuses,Plasma1337x VitaPLUR gum,pangolier,chen,death-prophet,enchantress,techies,ember-spirit,lycan,batrider,queen-of-pain,beastmaster,grimstroke,kunkka,ursa,pugna,skywrath-mage,clockwerk,dragon-knight,witch-doctor,naga-siren,phantom-lancer,clinkz,legion-commander
4 Zoomers,Evil Geniuses,4 Zoomers,death-prophet,lycan,lone-druid,naga-siren,broodmother,winter-wyvern,batrider,beastmaster,enchantress,witch-doctor,queen-of-pain,kunkka,necrophos,earthshaker,tusk,clockwerk,ursa,weaver,mars,ember-spirit,pugna,void-spirit
Evil Geniuses,Evil Geniuses,4 Zoomers,lone-druid,lycan,death-prophet,naga-siren,natures-prophet,winter-wyvern,queen-of-pain,beastmaster,enchantress,witch-doctor,void-spirit,ember-spirit,necrophos,keeper-of-the-light,earthshaker,clockwerk,ursa,spectre,enigma,broodmother,batrider,legion-commander
Neon Esports,BOOM Esports,Neon Esports,natures-prophet,chen,phoenix,batrider,venomancer,lone-druid,clockwerk,beastmaster,earthshaker,queen-of-pain,treant-protector,vengeful-spirit,phantom-lancer,morphling,rubick,dragon-knight,void-spirit,medusa,timbersaw,anti-mage,puck,spectre
BOOM Esports,Neon Esports,BOOM Esports,lone-druid,treant-protector,chen,earthshaker,morphling,lycan,batrider,phoenix,beastmaster,witch-doctor,ember-spirit,natures-prophet,timbersaw,venomancer,tusk,rubick,ursa,tiny,queen-of-pain,pangolier,grimstroke,kunkka
Neon Esports,Neon Esports,TNC Predator,timbersaw,natures-prophet,batrider,venomancer,morphling,beastmaster,chen,treant-protector,queen-of-pain,phoenix,dragon-knight,snapfire,faceless-void,death-prophet,nyx-assassin,tusk,necrophos,pangolier,templar-assassin,bloodseeker,anti-mage,spectre
Neon Esports,Neon Esports,TNC Predator,batrider,natures-prophet,chen,queen-of-pain,morphling,beastmaster,timbersaw,phoenix,dragon-knight,pangolier,warlock,grimstroke,spectre,riki,mars,rubick,templar-assassin,ember-spirit,monkey-king,ursa,troll-warlord,death-prophet
Adroit,Adroit,BOOM Esports,nyx-assassin,phoenix,dragon-knight,phantom-lancer,timbersaw,enigma,pangolier,beastmaster,earthshaker,clockwerk,batrider,chen,bloodseeker,morphling,ember-spirit,dazzle,winter-wyvern,slark,tidehunter,riki,queen-of-pain,terrorblade
BOOM Esports,BOOM Esports,Adroit,dazzle,dragon-knight,chen,timbersaw,necrophos,batrider,beastmaster,phoenix,ember-spirit,earthshaker,natures-prophet,witch-doctor,morphling,riki,bane,pangolier,bloodseeker,lone-druid,invoker,death-prophet,enigma,brewmaster
Fnatic,Fnatic,Cignal Ultra,mirana,earthshaker,batrider,chen,necrophos,dragon-knight,monkey-king,timbersaw,ember-spirit,queen-of-pain,clockwerk,natures-prophet,grimstroke,beastmaster,keeper-of-the-light,snapfire,centaur-warrunner,lone-druid,mars,troll-warlord,treant-protector,lifestealer
Fnatic,Fnatic,Cignal Ultra,queen-of-pain,natures-prophet,batrider,earthshaker,ember-spirit,timbersaw,lycan,dragon-knight,tusk,vengeful-spirit,beastmaster,chen,luna,phantom-lancer,mirana,snapfire,medusa,phantom-assassin,kunkka,viper,invoker,puck
Neon Esports,Neon Esports,Execration,morphling,natures-prophet,alchemist,timbersaw,mars,dragon-knight,batrider,venomancer,queen-of-pain,chen,void-spirit,beastmaster,troll-warlord,lycan,rubick,mirana,pangolier,grimstroke,ursa,anti-mage,riki,phantom-lancer
Neon Esports,Neon Esports,Execration,alchemist,natures-prophet,clockwerk,dragon-knight,morphling,venomancer,batrider,queen-of-pain,beastmaster,enchantress,ember-spirit,rubick,troll-warlord,storm-spirit,tusk,phoenix,dazzle,tiny,phantom-lancer,faceless-void,weaver,gyrocopter
T1,Reality Rift,T1,lone-druid,troll-warlord,morphling,beastmaster,natures-prophet,dragon-knight,ursa,timbersaw,chen,grimstroke,clockwerk,earth-spirit,riki,alchemist,doom,lifestealer,queen-of-pain,witch-doctor,templar-assassin,shadow-fiend,meepo,pangolier
T1,Reality Rift,T1,lone-druid,troll-warlord,morphling,beastmaster,natures-prophet,dragon-knight,grimstroke,timbersaw,clockwerk,ember-spirit,mirana,chen,ancient-apparition,alchemist,keeper-of-the-light,juggernaut,legion-commander,ursa,phoenix,razor,witch-doctor,templar-assassin
Adroit,Adroit,Cignal Ultra,tiny,dragon-knight,timbersaw,batrider,riki,dazzle,chen,beastmaster,clockwerk,queen-of-pain,ember-spirit,morphling,ancient-apparition,earthshaker,grimstroke,natures-prophet,necrophos,shadow-demon,pugna,enigma,tidehunter,ursa
Adroit,Adroit,Cignal Ultra,timbersaw,dazzle,riki,beastmaster,lycan,dragon-knight,batrider,morphling,queen-of-pain,puck,disruptor,chen,earthshaker,ember-spirit,mirana,kunkka,slark,enigma,faceless-void,necrophos,naga-siren,legion-commander
Neon Esports,Neon Esports,Cignal Ultra,batrider,templar-assassin,timbersaw,natures-prophet,morphling,dragon-knight,alchemist,earthshaker,queen-of-pain,puck,ember-spirit,beastmaster,troll-warlord,mirana,enchantress,rubick,tusk,faceless-void,phoenix,anti-mage,snapfire,naga-siren
Neon Esports,Cignal Ultra,Neon Esports,templar-assassin,batrider,natures-prophet,morphling,beastmaster,alchemist,timbersaw,dragon-knight,queen-of-pain,phoenix,void-spirit,venomancer,weaver,earthshaker,rubick,bane,pugna,anti-mage,legion-commander,terrorblade,centaur-warrunner,phantom-lancer
T1,Execration,T1,lone-druid,batrider,pangolier,dragon-knight,timbersaw,venomancer,morphling,beastmaster,ember-spirit,natures-prophet,grimstroke,keeper-of-the-light,clockwerk,queen-of-pain,death-prophet,earth-spirit,tusk,templar-assassin,dark-seer,riki,legion-commander,ursa
T1,Execration,T1,riki,dragon-knight,timbersaw,batrider,death-prophet,beastmaster,pangolier,venomancer,earthshaker,clockwerk,natures-prophet,queen-of-pain,lone-druid,kunkka,invoker,winter-wyvern,ancient-apparition,lycan,brewmaster,ursa,void-spirit,faceless-void
Reality Rift,Reality Rift,Execration,lone-druid,void-spirit,morphling,timbersaw,batrider,templar-assassin,underlord,phantom-lancer,beastmaster,dragon-knight,enchantress,pugna,winter-wyvern,troll-warlord,queen-of-pain,mirana,ursa,pangolier,spectre,slardar,riki,kunkka
Reality Rift,Reality Rift,Execration,lone-druid,void-spirit,morphling,templar-assassin,batrider,beastmaster,ursa,timbersaw,enchantress,dragon-knight,mirana,venomancer,riki,clockwerk,bane,earth-spirit,phantom-lancer,ember-spirit,troll-warlord,legion-commander,alchemist,shadow-fiend
Neon Esports,Adroit,Neon Esports,timbersaw,batrider,riki,clockwerk,nyx-assassin,chen,natures-prophet,ember-spirit,phoenix,beastmaster,queen-of-pain,enchantress,morphling,kunkka,pugna,pangolier,grimstroke,faceless-void,invoker,naga-siren,puck,spectre
Neon Esports,Neon Esports,Adroit,chen,timbersaw,batrider,beastmaster,ember-spirit,riki,clockwerk,lycan,dragon-knight,ancient-apparition,earthshaker,natures-prophet,morphling,spectre,death-prophet,queen-of-pain,faceless-void,venomancer,troll-warlord,dazzle,bounty-hunter,abaddon
GeekFam,Geek Fam,Neon Esports,death-prophet,batrider,phoenix,ember-spirit,venomancer,chen,natures-prophet,beastmaster,dragon-knight,void-spirit,grimstroke,queen-of-pain,timbersaw,lycan,pangolier,bane,puck,riki,clockwerk,phantom-lancer,pugna,bloodseeker
GeekFam,Neon Esports,Geek Fam,batrider,natures-prophet,chen,phoenix,ember-spirit,morphling,clockwerk,templar-assassin,beastmaster,kunkka,queen-of-pain,rubick,winter-wyvern,necrophos,enchantress,oracle,phantom-assassin,troll-warlord,viper,pugna,dragon-knight,timbersaw
GeekFam,Geek Fam,Team ΣCFCC3516,clockwerk,timbersaw,kunkka,dragon-knight,faceless-void,earthshaker,batrider,beastmaster,queen-of-pain,natures-prophet,bane,ember-spirit,morphling,troll-warlord,nyx-assassin,grimstroke,puck,lycan,templar-assassin,tidehunter,treant-protector,phantom-lancer
GeekFam,Geek Fam,Execration,clockwerk,earthshaker,riki,timbersaw,enchantress,beastmaster,oracle,batrider,dragon-knight,ancient-apparition,morphling,natures-prophet,ember-spirit,lycan,kunkka,bane,mirana,pangolier,ursa,legion-commander,luna,centaur-warrunner
T1,T1,Geek Fam,dragon-knight,natures-prophet,batrider,riki,lycan,timbersaw,beastmaster,ancient-apparition,clockwerk,queen-of-pain,disruptor,grimstroke,morphling,death-prophet,ember-spirit,dark-seer,tiny,invoker,spectre,anti-mage,lone-druid,pangolier
Geek Fam,T1,Geek Fam,dragon-knight,lone-druid,batrider,timbersaw,death-prophet,riki,beastmaster,ancient-apparition,natures-prophet,earthshaker,queen-of-pain,clockwerk,lycan,grimstroke,oracle,phoenix,troll-warlord,enigma,luna,kunkka,phantom-lancer,ember-spirit
Reality Rift,Reality Rift,Cignal Ultra,batrider,earthshaker,timbersaw,beastmaster,venomancer,void-spirit,ember-spirit,clockwerk,treant-protector,jakiro,ursa,queen-of-pain,phoenix,troll-warlord,rubick,earth-spirit,dragon-knight,monkey-king,viper,centaur-warrunner,dazzle,puck
Cignal Ultra,Cignal Ultra,Reality Rift,clockwerk,ember-spirit,void-spirit,ursa,troll-warlord,beastmaster,timbersaw,batrider,earthshaker,phoenix,tusk,keeper-of-the-light,faceless-void,morphling,dazzle,queen-of-pain,phantom-lancer,legion-commander,riki,dragon-knight,weaver,kunkka
